store_name,license_id,square_feet,buffer_size,address,zip_code,census_tract,census_block,latitude,longitude
Food 4 Less Midwest,1596210,62000,A,7030 S ASHLAND AVE,60636,17031671500,170316715003031,41.7657907704,-87.6639668865
FOOD 4 LESS MIDWEST #789,1272529,64486,A,4620 S DAMEN AVE,60609,17031610300,170316103003015,41.8096685280,-87.6751156964
FOOD BASKET,1682475,2500,B,7205 S HALSTED ST,60621,17031681300,170316813001006,41.7631811950,-87.6442150210
FOODSMART,1474028,13800,A,2901 W ARMITAGE AVE,60647,17031222500,170312225001004,41.9173585451,-87.6993410687
FOODSMART,46295,3500,B,3415 W DIVERSEY AVE,60647,17031220602,170312206025000,41.9318527752,-87.7129012497
FRESH BUY FOODS INC,23640,26000,A,6319 S VERNON AVE,60637,17031420700,170314207005004,41.7796646515,-87.6142509361
FRESH FARMS INTERNATIONAL,30144,9500,B,2626 W DEVON AVE,60659,17031020602,170310206023013,41.9977359091,-87.6959288805
FRESH MARKET PLACE,1382145,20000,A,2600 N CENTRAL AVE,60639,17031190602,170311906022018,41.9276476796,-87.7662665211
FRUTERIA EL MERCADO,21239,5500,B,2759 S SPAULDING AVE,60623,17031840800,170318408001015,41.8409331636,-87.7072241769
FURTERIA EL SERRANITO,2031979,2500,B,1755 W 38TH ST,60609,17031590700,170315907001015,41.8248606245,-87.6700230192
GAYTAN GROCERY STORE,85044,3500,B,2802 S KOLIN AVE,60623,17031301801,170313018011003,41.8403086304,-87.7331070590
GEMELOS FOOD/ CHECK CASHING SERVICES,1045757,6600,B,4300 S MOZART ST,60632,17031580502,170315805023027,41.8154320010,-87.6957977900
GENES SAUSAGE SHOP AT DELI MEYER,1922145,6000,B,4746 N LINCOLN AVE,60625,17031040600,170310406003004,41.9677536575,-87.6881717161
GENE'S SAUSAGE SHOP & DELI INC,1876,5000,B,5330 W BELMONT AVE,60641,17031151100,170311511002015,41.9387619658,-87.7604070714
GILMART'S  FOOD & LIQUOR,22715,10001,A,5044 S ARCHER AVE,60632,17031570300,170315703002016,41.8014000331,-87.7260437419
GOLDMORE FOOD,34046,2500,B,1949 W 51ST ST,60609,17031611700,170316117003002,41.8011278091,-87.6740803441
GRAND FOOD MARKET,1221783,3952,B,5202 W GRAND AVE,60639,17031191200,170311912002006,41.9170677465,-87.7560413324
"GRAND PALACE SUPERMARKET, INC",49648,3000,B,7131 S STATE ST,60619,17031691000,170316910004006,41.7645736329,-87.6247399651
"H & A FOOD MARKET, INC.",1379268,2500,B,1007 W 63RD ST,60621,17031681000,170316810004004,41.7795645849,-87.6499748357
HALAL MEAT & GROCERY,55665,2500,B,1414 W DEVON AVE,60660,17031010600,170310106003008,41.9982373871,-87.6661711005
HAPPY FOODS,1618660,11000,A,6783 N NORTHWEST HWY,60631,17031090200,170310902004007,42.0043992612,-87.8184857554
HAPPY FOODS,1618656,11500,A,6415 N CENTRAL AVE,60646,17031120200,170311202002015,41.9978600139,-87.7634457986
HARBOR MARKET,44759,4200,B,155 N HARBOR DR,60601,17031320100,170313201004020,41.8847505385,-87.6156039565
HAREER FOOD & LIQUOR,52337,2500,B,5452 S HALSTED ST,60609,17031612100,170316121001043,41.7945591033,-87.6453134277
HARPER FOODS,57683,3300,B,1455 E 57TH ST,60637,17031411100,170314111002000,41.7914105694,-87.5895326278
HARVESTIME FOODS,43697,8750,B,2632 W LAWRENCE AVE,60625,17031040201,170310402013015,41.9686702259,-87.6951627475
Hegewisch Fruit Market Inc.,2020869,7800,B,13209 S BALTIMORE AVE,60633,17031550100,170315501006033,41.6551885903,-87.5469994185
HILLTOP LIQUORS MART,788,3200,B,10259 S MICHIGAN AVE,60628,17031490800,170314908005007,41.7072479748,-87.6200563640
