systemstop,objectid,street,routesstpg,public_nam,point_x,point_y
4443,2842,ARCHER,62,Archer & Loomis/Fuller,-87.65769187,41.84166496
8753,2843,DAMEN,50,Damen & Blue Island,-87.67565529,41.84883167
1081,2844,STOCKTON,"151,156",Stockton & Fullerton,-87.636161,41.925476
3844,2845,LARAMIE,57,Laramie & Madison,-87.75515253,41.88058082
5203,2846,STONY ISLAND,"6,15,28",Stony Island & 65th Street,-87.58646977,41.77707497
1151,2847,SHERIDAN,"77,134,143,151,156",Sheridan & Wellington,-87.639359,41.936757
2161,2848,KING DRIVE,3,King Drive & 41st Street,-87.6167572,41.82041816
12188,2849,103RD STREET,103,103rd Street & Longwood,-87.67053684,41.70661937
12282,2850,103RD STREET,"34,106",103rd Street & Cottage Grove,-87.60630218,41.7075071
15768,2851,103RD STREET,103,103rd Street & Halsted,-87.64320272,41.70697906
93,2852,VAN BUREN,126,Van Buren & Racine,-87.65680352,41.87657583
7491,2853,26TH STREET,21,26th Street & King Drive,-87.6178695,41.84578438
5693,2854,IRVING PARK,80,Irving Park & Rockwell,-87.69306339,41.95410555
2695,2855,79TH STREET,79,79th Street & Kilpatrick,-87.73879421,41.74930422
15265,2856,111TH STREET,111,111th Street & Wentworth,-87.62753123,41.69247919
3397,2857,63RD STREET,63,63rd Street & Sacramento,-87.69841316,41.77896466
4031,2858,ARMITAGE,73,Armitage & Cicero,-87.74630317,41.91686324
4276,2859,47TH STREET,94,47th Street & California,-87.69383214,41.8082175
2781,2860,79TH STREET,79,79th Street & King Drive,-87.61518,41.751052
8055,2861,43RD STREET,43,43rd Street & King Drive,-87.61635294,41.81655277
876,2862,NORTH AVENUE,72,North Ave & Keeler,-87.73152517,41.9097113
14562,2863,43RD STREET,43,43rd Street & Lake Park,-87.59889344,41.81689292
5633,2864,IRVING PARK,"54A,80",Irving Park & Kostner,-87.73813256,41.95343502
3395,2865,63RD STREET,63,63rd Street & Kedzie,-87.70327073,41.77889387
15014,2866,DIVISION,70,Division & California,-87.69674311,41.90286058
1729,2867,DEVON,155,Devon & Western,-87.69009024,41.99764551
6909,2868,CERMAK,21,Cermak & Kostner,-87.73471891,41.85125414
2816,2869,95TH STREET,"N5,34,95,100,103,106,111,115,119",95th Street & Michigan,-87.62073606,41.72167594
2943,2870,115TH STREET,115,115th Street & Halsted,-87.64233559,41.68501272
10176,2871,69TH STREET,"67,169",69th Street & Wentworth,-87.63006039,41.76900558
9162,2872,51ST STREET,51,51st Street & Western Avenue,-87.68444381,41.80108284
1567,2873,MICHIGAN,"1,4,21",Michigan & 26th Street,-87.62332019,41.84588766
17212,2874,PULASKI,53,Pulaski & 19th Street,-87.72476054,41.85516196
17321,2875,PULASKI,53,Pulaski & Wilson,-87.72783233,41.96479256
17381,2876,KING DRIVE,3,King Drive & 73rd Street,-87.61511939,41.76194215
17392,2877,ASHLAND,"9,X9",Ashland & Fullerton,-87.66800761,41.92530861
10092,2878,69TH STREET,67,69th Street & Normal,-87.636967,41.769009
769,2879,GRAND,65,Grand & Franklin,-87.63546111,41.89166494
14520,2880,CHICAGO,66,Chicago & Leavitt,-87.68215342,41.89589828
1152,2881,SHERIDAN,"77,134,143,151,156",Sheridan & Barry,-87.6393989,41.93788148
2518,2882,COTTAGE GROVE,4,Cottage Grove & 40th Street,-87.606772,41.821357
15803,2883,RACINE,44,Racine & 79th Street,-87.65365408,41.75075981
6209,2884,ASHLAND,"9,X9",Ashland & 35th Street,-87.66542064,41.83038641
10334,2885,CICERO,54,Cicero & Irving Park/Milwaukee,-87.74718951,41.95315947
8599,2886,DELPHIA,81W,Delphia & Bryn Mawr,-87.8415783,41.98094895
4252,2887,CALIFORNIA,94,California & Cermak,-87.69552783,41.85200049
5356,2888,BROADWAY,36,Broadway & Irving Park,-87.65069675,41.95468314
15541,2889,CLARK,22,Clark & Southport,-87.66392911,41.95731191
10319,2890,CICERO,54,Cicero & Wrightwood,-87.74632608,41.92841578
6641,2891,OGDEN,157,Ogden & Polk,-87.67839066,41.87124078
9625,2892,AUSTIN,91,Austin & Madison,-87.77457711,41.88034718
